날짜, 평균기온, 최고기온, 최저기온, 평균운량, 일강수량
2018-1-1, -1.3℃,3.8℃,-5.1℃,1.0, - 
2018-1-2, -1.8℃,1.8℃,-4.3℃,2.3, - 
2018-1-3, -4.7℃,-0.4℃,-7.1℃,3.6, - 
2018-1-4, -4.7℃,-0.7℃,-8.7℃,6.5, - 
2018-1-5, -3.0℃,1.6℃,-5.6℃,3.6, - 
2018-1-6, -2.8℃,2.9℃,-6.8℃,0.0, - 
2018-1-7, -0.8℃,2.8℃,-5.7℃,7.5, - 
2018-1-8, 1.3℃,4.0℃,-1.2℃,9.0,0.9mm
2018-1-9, -4.2℃,-1.2℃,-6.1℃,3.5,0.5mm
2018-1-10, -7.5℃,-4.8℃,-10.3℃,0.9,0.3mm
2018-1-11, -11.1℃,-7.4℃,-13.6℃,0.4, - 
2018-1-12, -10.2℃,-5.4℃,-15.3℃,2.3,0.0mm
2018-1-13, -4.4℃,-1.2℃,-6.6℃,8.3,0.4mm
2018-1-14, 0.6℃,5.4℃,-4.4℃,7.0, - 
2018-1-15, 4.7℃,7.7℃,1.8℃,7.6,0.2mm
2018-1-16, 3.5℃,6.8℃,0.1℃,9.8,0.0mm
2018-1-17, 4.5℃,8.7℃,2.4℃,7.4, - 
2018-1-18, 2.1℃,4.5℃,0.3℃,8.6,0.0mm
2018-1-19, 1.0℃,5.5℃,-2.5℃,3.8, - 
2018-1-20, 2.2℃,6.9℃,-1.0℃,5.1, - 
2018-1-21, 0.4℃,5.5℃,-3.7℃,2.0, - 
2018-1-22, 0.2℃,4.0℃,-5.3℃,9.4,3.3mm
2018-1-23, -11.7℃,-5.3℃,-14.6℃,0.3, - 
2018-1-24, -14.2℃,-10.7℃,-16.3℃,0.0, - 
2018-1-25, -14.0℃,-9.5℃,-16.4℃,3.6, - 
2018-1-26, -14.8℃,-10.7℃,-17.8℃,0.0, - 
2018-1-27, -9.9℃,-3.5℃,-15.9℃,1.8, - 
2018-1-28, -6.3℃,-1.2℃,-9.3℃,3.3, - 
2018-1-29, -8.5℃,-4.7℃,-11.6℃,0.1, - 
2018-1-30, -5.3℃,-0.8℃,-11.4℃,5.8,2.9mm
2018-1-31, -2.6℃,0.0℃,-5.2℃,7.4,0.0mm
2018-2-1, -4.0℃,1.2℃,-8.8℃,0.0, - 
2018-2-2, -2.4℃,3.8℃,-7.6℃,1.9, - 
2018-2-3, -7.3℃,-2.1℃,-10.4℃,1.3,0.5mm
2018-2-4, -9.5℃,-5.2℃,-12.8℃,0.0, - 
2018-2-5, -9.4℃,-5.1℃,-11.8℃,0.1, - 
2018-2-6, -10.1℃,-5.8℃,-12.8℃,1.1, - 
2018-2-7, -8.0℃,-1.6℃,-13.4℃,1.0, - 
2018-2-8, -4.4℃,2.0℃,-9.7℃,0.3, - 
2018-2-9, 0.4℃,6.1℃,-5.3℃,9.1, - 
2018-2-10, -0.5℃,3.2℃,-6.9℃,6.5, - 
2018-2-11, -6.1℃,-2.2℃,-9.5℃,3.5,0.0mm
2018-2-12, -5.8℃,-1.8℃,-9.6℃,4.1,0.0mm
2018-2-13, -0.8℃,4.3℃,-7.4℃,3.1, - 
2018-2-14, 3.5℃,8.7℃,-0.7℃,7.4, - 
2018-2-15, -0.7℃,4.0℃,-3.7℃,3.8, - 
2018-2-16, -1.1℃,4.9℃,-5.5℃,3.3, - 
2018-2-17, -3.0℃,1.4℃,-7.1℃,1.9, - 
2018-2-18, -0.4℃,5.2℃,-4.9℃,7.4, - 
2018-2-19, 1.8℃,6.8℃,-1.9℃,6.1, - 
2018-2-20, 0.9℃,5.5℃,-2.4℃,5.0, - 
2018-2-21, -0.9℃,4.4℃,-4.5℃,1.6, - 
2018-2-22, 1.3℃,5.4℃,-3.9℃,5.8,0.4mm
2018-2-23, 4.2℃,8.6℃,-0.3℃,7.0,3.7mm
2018-2-24, 2.4℃,7.2℃,-1.1℃,6.1, - 
2018-2-25, 1.9℃,7.9℃,-1.6℃,2.4, - 
2018-2-26, 3.1℃,10.4℃,-3.2℃,1.3, - 
2018-2-27, 4.2℃,6.9℃,0.6℃,8.5, - 
2018-2-28, 4.6℃,7.8℃,1.8℃,10.0,25.0mm
2018-3-1, -0.2℃,3.0℃,-4.3℃,4.4,0.5mm
2018-3-2, -0.7℃,5.4℃,-6.7℃,2.4, - 
2018-3-3, 7.9℃,16.2℃,-0.1℃,4.1,0.0mm
2018-3-4, 9.8℃,11.9℃,7.6℃,10.0,11.5mm
2018-3-5, 5.5℃,11.4℃,1.3℃,5.4,3.5mm
2018-3-6, ,10.1℃,-1.1℃, - , - 
